word         title         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22         23        24        25        26        27        28        29        30        31        32        33        34        35        36        37    38        39        40        41        42        43        44        45        46        47        48        49        50        51        52         53        54        55        56        57        58    59        60        61    62    63        64
land      0.139423  0.229692  0.287179  0.428571  0.133333  0.235409  0.117647  0.22549   0.6       0.253846  0.25      0.25      0.191667  0.279365  0.180556  0.138095  0.5625    0.653846  0.25      0.142857  0.235409  0.316527  0.253968  0.08       0.253846  0.125     0.153409  0.257631  0.176923  0.191667  0.153846  0.173856  0.133333  0.307692  0.27619   0.153846  0.204762  0.206536     0  0.125     0.220513  0.225     0.214286  0.269841  0.266667  0.285714  0.533333  0.139423  1         0.286691  0.653846  0.320513  0.148352  0.111111   0.209524  0.1625    0.296703  0.142857  0.253846     0  0.117647  0.142857     0     0  0.171429
hear      0.167832  0.168831  0.183333  0.222222  0.166667  0.176768  0.142857  0.177778  0.290909  0.3       0.153846  0.153846  0.153846  0.176768  0.14359   0.166667  0.167832  0.190909  0.153846  0.181818  0.176768  0.182299  0.157576  0.0909091  0.3       0.153846  0.201923  0.195286  0.290909  0.160256  0.181818  0.210714  0.166667  0.2       0.174242  0.2       0.174242  0.150794     0  0.153846  0.183333  0.276923  0.174242  0.177778  0.166667  0.181818  0.166667  0.176923  0.181818  0.182828  0.190909  0.211111  0.190909  0.133333   0.174242  0.271429  0.190909  0.166667  0.3          0  0.133333  0.166667     0     0  0.283333
eye       0.260504  0.162963  0.133929  0.285714  0.25      0.181349  0.222222  0.188034  0.157576  0.162338  0.117647  0.117647  0.183824  0.130556  0.164087  0.258333  0.184314  0.138095  0.117647  0.266667  0.181349  0.17672   0.119298  0.153846   0.162338  0.235294  0.284314  0.190965  0.233766  0.183824  0.285714  0.184892  0.25      0.142857  0.129167  0.428571  0.195833  0.152778     0  0.235294  0.196429  0.149733  0.2       0.24812   0.125     0.133333  0.125     0.260504  0.133333  0.13373   0.138095  0.148352  0.27619   0.210526   0.191667  0.208556  0.138095  0.266667  0.162338     0  0.222222  0.266667     0     0  0.224242
round     0.388889  0.29386   0.12549   0.266667  0.470588  0.229031  0.210526  0.253247  0.145833  0.15      0.111111  0.111111  0.255556  0.122549  0.355556  0.504644  0.340278  0.129167  0.111111  0.75      0.229031  0.165643  0.1125    0.296296   0.15      0.222222  0.508547  0.237434  0.305556  0.29085   0.444444  0.378973  0.470588  0.133333  0.121324  0.266667  0.183824  0.28483      0  0.555556  0.243137  0.138889  0.273026  0.433333  0.117647  0.125     0.117647  0.5       0.125     0.125327  0.129167  0.138095  0.391667  0.4        0.297794  0.27381   0.129167  0.421053  0.15         0  0.363636  0.421053     0     0  0.29386
till      0.260504  0.240741  0.25098   0.5       0.25      0.257003  0.222222  0.253968  0.278409  0.224242  0.222222  0.222222  0.236111  0.245098  0.216374  0.258333  0.305147  0.320833  0.222222  0.266667  0.257003  0.320175  0.225     0.153846   0.224242  0.235294  0.284314  0.27381   0.233766  0.236111  0.285714  0.212465  0.25      0.266667  0.242647  0.285714  0.317647  0.222681     0  0.235294  0.258333  0.20202   0.258333  0.355263  0.235294  0.25      0.352941  0.260504  0.375     0.250654  0.320833  0.27619   0.342857  0.210526   0.25      0.208556  0.258333  0.266667  0.224242     0  0.222222  0.266667     0     0  0.224242
child     0.676471  0.242915  0.154762  0.333333  0.705882  0.432234  0.25      0.363636  0.176923  0.183333  0.133333  0.133333  0.366667  0.150183  0.266667  0.551084  0.299145  0.160256  0.133333  0.5       0.321123  0.20406   0.135747  0.444444   0.183333  0.266667  0.472222  0.445221  0.6       0.301961  0.666667  0.290977  0.470588  0.166667  0.148352  0.333333  0.225275  0.229637     0  0.444444  0.270833  0.166667  0.392713  0.366667  0.142857  0.153846  0.142857  0.443137  0.153846  0.154457  0.160256  0.174242  0.420513  0.6        0.312217  0.385714  0.160256  0.631579  0.183333     0  0.545455  0.631579     0     0  0.415789
happy     0.183333  0.184615  0.20202   0.25      0.181818  0.193939  0.153846  0.196429  0.35      0.361111  0.166667  0.166667  0.166667  0.193939  0.154762  0.181818  0.183333  0.211111  0.166667  0.2       0.193939  0.201282  0.171429  0.0952381  0.611111  0.166667  0.22619   0.216667  0.35      0.174242  0.2       0.24463   0.181818  0.222222  0.190909  0.222222  0.190909  0.16317      0  0.166667  0.20202   0.333333  0.190909  0.196429  0.181818  0.2       0.181818  0.194444  0.2       0.201347  0.211111  0.236111  0.211111  0.142857   0.190909  0.326923  0.211111  0.181818  0.361111     0  0.142857  0.181818     0     0  0.340909
every     0.183333  0.184615  0.20202   0.25      0.181818  0.193939  0.153846  0.196429  0.35      0.361111  0.166667  0.166667  0.166667  0.193939  0.154762  0.181818  0.183333  0.211111  0.166667  0.2       0.193939  0.201282  0.171429  0.0952381  0.361111  0.166667  0.22619   0.216667  0.35      0.174242  0.2       0.24463   0.181818  0.222222  0.190909  0.222222  0.190909  0.16317      0  0.166667  0.20202   0.333333  0.190909  0.196429  0.181818  0.2       0.181818  0.194444  0.2       0.201347  0.211111  0.236111  0.211111  0.142857   0.190909  0.326923  0.211111  0.181818  0.361111     0  0.142857  0.181818     0     0  0.340909
find      0.115132  0.190196  0.361111  0.266667  0.111111  0.307462  0.1       0.183333  0.19457   0.201923  0.315789  0.380952  0.21345   0.230937  0.152882  0.114379  0.170279  0.242647  0.210526  0.117647  0.194172  0.339869  0.260504  0.0714286  0.326923  0.105263  0.12406   0.208987  0.139423  0.21345   0.125     0.142827  0.111111  0.25      0.343137  0.125     0.281046  0.174074     0  0.105263  0.180556  0.234818  0.294118  0.180952  0.222222  0.235294  0.222222  0.115132  0.235294  0.277505  0.242647  0.258333  0.121324  0.0952381  0.173203  0.129555  0.305147  0.117647  0.201923     0  0.1       0.117647     0     0  0.135747
grow      0.167832  0.168831  0.183333  0.222222  0.166667  0.176768  0.142857  0.177778  0.290909  0.3       0.153846  0.153846  0.153846  0.176768  0.14359   0.166667  0.167832  0.190909  0.153846  0.181818  0.176768  0.182299  0.157576  0.0909091  0.3       0.153846  0.201923  0.195286  0.290909  0.160256  0.181818  0.210714  0.166667  0.2       0.174242  0.2       0.174242  0.150794     0  0.153846  0.183333  0.276923  0.174242  0.177778  0.166667  0.181818  0.166667  0.176923  0.181818  0.182828  0.190909  0.211111  0.190909  0.133333   0.174242  0.271429  0.190909  0.166667  0.3          0  0.133333  0.166667     0     0  0.283333
still     0.388889  0.258772  0.12549   0.266667  0.470588  0.229031  0.210526  0.253247  0.145833  0.15      0.111111  0.111111  0.255556  0.122549  0.305556  0.504644  0.340278  0.129167  0.111111  0.625     0.229031  0.165643  0.1125    0.296296   0.15      0.222222  0.508547  0.237434  0.305556  0.29085   0.444444  0.327657  0.470588  0.133333  0.121324  0.266667  0.183824  0.249742     0  0.555556  0.243137  0.138889  0.273026  0.383333  0.117647  0.125     0.117647  0.5       0.125     0.125327  0.129167  0.138095  0.391667  0.4        0.297794  0.27381   0.129167  0.421053  0.15         0  0.363636  0.421053     0     0  0.29386
